"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","Заголовки статей отображаются корректно","Habr.com - Smoke Tests","2025-12-13","skipped","","","TC-2: Проверка контента на главной странице","",""
"","","Можно открыть первую статью из списка","Habr.com - Тестирование функционала статей","2025-12-10","skipped","","","TC-2: Открытие и чтение статей","",""
"","","Логотип Habr отображается","Habr.com - Smoke Tests","2025-12-11","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Навигация в раздел ""management"" работает","Habr.com - Smoke Tests","2025-12-11","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Кнопка входа отображается на главной странице","Habr.com - Тестирование авторизации","2025-12-10","skipped","","","TC-1: Доступность форм авторизации","",""
"","","Навигация в раздел ""design"" работает","Habr.com - Smoke Tests","2025-12-12","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Главная страница загружается корректно","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Логотип Habr отображается","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Форма входа содержит все необходимые элементы","Habr.com - Детальное тестирование авторизации","2025-12-12","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Можно перейти на форму восстановления пароля","Habr.com - Детальное тестирование авторизации","2025-12-11","skipped","","","TC-4: Восстановление пароля","",""
"","","Можно открыть первую статью","Habr.com - Тестирование функционала статей","2025-12-12","skipped","","","TC-2: Открытие и чтение статей","",""
"","","Можно открыть первую статью из списка","Habr.com - Тестирование функционала статей","2025-12-10","skipped","","","TC-2: Открытие и чтение статей","",""
"","","Сортировка статей по рейтингу","Habr.com - Тестирование функционала статей","2025-12-11","skipped","","","TC-3: Сортировка и фильтрация","",""
"","","Сортировка статей по рейтингу","Habr.com - Тестирование функционала статей","2025-12-10","skipped","","","TC-3: Сортировка и фильтрация","",""
"","","Валидация на стороне клиента работает","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-2: Валидация формы регистрации","",""
"","","Все поля формы регистрации присутствуют","Habr.com - Детальное тестирование авторизации","2025-12-12","skipped","","","TC-2: Валидация формы регистрации","",""
"","","Навигационное меню отображается","Habr.com - Smoke Tests","2025-12-13","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Кнопка входа отображается","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Навигация в раздел ""design"" работает","Habr.com - Smoke Tests","2025-12-12","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Все поля формы регистрации присутствуют","Habr.com - Детальное тестирование авторизации","2025-12-11","skipped","","","TC-2: Валидация формы регистрации","",""
"","","Кнопка входа отображается на главной странице","Habr.com - Тестирование авторизации","2025-12-11","skipped","","","TC-1: Доступность форм авторизации","",""
"","","Форма входа содержит все необходимые элементы","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Валидация на стороне клиента работает","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-2: Валидация формы регистрации","",""
"","","Кнопка входа отображается на главной странице","Habr.com - Тестирование авторизации","2025-12-11","skipped","","","TC-1: Доступность форм авторизации","",""
"","","Навигация в раздел ""admin"" работает","Habr.com - Smoke Tests","2025-12-12","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Заголовки статей отображаются корректно","Habr.com - Smoke Tests","2025-12-12","skipped","","","TC-2: Проверка контента на главной странице","",""
"","","Кнопка входа отображается","Habr.com - Smoke Tests","2025-12-11","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Навигация в раздел ""development"" работает","Habr.com - Smoke Tests","2025-12-11","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Навигация в раздел ""marketing"" работает","Habr.com - Smoke Tests","2025-12-12","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Можно открыть первую статью из списка","Habr.com - Тестирование функционала статей","2025-12-11","skipped","","","TC-2: Открытие и чтение статей","",""
"","","Валидация пустых полей формы входа","Habr.com - Тестирование авторизации","2025-12-11","skipped","","","TC-2: Валидация формы авторизации","",""
"","","Async/await should work","TypeScript configuration test","2025-12-14","skipped","","","","",""
"","","Async/await should work","TypeScript configuration test","2025-12-10","skipped","","","","",""
"","","Можно перейти на страницу регистрации","Habr.com - Тестирование авторизации","2025-12-11","skipped","","","TC-1: Доступность форм авторизации","",""
"","","Можно перейти на форму восстановления пароля","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-4: Восстановление пароля","",""
"","","Навигация в раздел ""design"" работает","Habr.com - Smoke Tests","2025-12-11","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Вход с неверными данными показывает ошибку","Habr.com - Детальное тестирование авторизации","2025-12-12","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Валидация пустых полей формы входа","Habr.com - Тестирование авторизации","2025-12-11","skipped","","","TC-2: Валидация формы авторизации","",""
"","","Навигация в раздел ""development"" работает","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Сортировка статей по рейтингу","Habr.com - Тестирование функционала статей","2025-12-13","skipped","","","TC-3: Сортировка и фильтрация","",""
"","","Чекбокс соглашения обязателен","Habr.com - Детальное тестирование авторизации","2025-12-11","skipped","","","TC-2: Валидация формы регистрации","",""
"","","Логотип Habr отображается","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Главная страница загружается корректно","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Можно открыть первую статью из списка","Habr.com - Тестирование функционала статей","2025-12-11","skipped","","","TC-2: Открытие и чтение статей","",""
"","","Форма входа содержит все необходимые элементы","Habr.com - Детальное тестирование авторизации","2025-12-12","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Заголовки статей отображаются корректно","Habr.com - Smoke Tests","2025-12-11","skipped","","","TC-2: Проверка контента на главной странице","",""
"","","Навигация в раздел ""design"" работает","Habr.com - Smoke Tests","2025-12-11","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Заголовки статей отображаются корректно","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-2: Проверка контента на главной странице","",""
"","","Список статей загружается","Habr.com - Smoke Tests","2025-12-13","skipped","","","TC-2: Проверка контента на главной странице","",""
"","","Переключение видимости пароля работает","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Сортировка статей по рейтингу","Habr.com - Тестирование функционала статей","2025-12-10","skipped","","","TC-3: Сортировка и фильтрация","",""
"","","Async/await should work","TypeScript configuration test","2025-12-12","skipped","","","","",""
"","","Можно перейти на форму восстановления пароля","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-4: Восстановление пароля","",""
"","","Навигация в раздел ""development"" работает","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Можно перейти на форму восстановления пароля","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-4: Восстановление пароля","",""
"","","Форма входа содержит все необходимые элементы","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Навигация в раздел ""design"" работает","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Можно перейти на страницу регистрации","Habr.com - Тестирование авторизации","2025-12-11","skipped","","","TC-1: Доступность форм авторизации","",""
"","","Валидация на стороне клиента работает","Habr.com - Детальное тестирование авторизации","2025-12-12","skipped","","","TC-2: Валидация формы регистрации","",""
"","","Чекбокс ""Запомнить меня"" работает корректно","Habr.com - Детальное тестирование авторизации","2025-12-11","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Статьи содержат основные элементы","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-2: Проверка контента на главной странице","",""
"","","Поиск по запросу ""TypeScript"" возвращает результаты","Habr.com - Тестирование функционала статей","2025-12-11","skipped","","","TC-1: Работа с поиском","",""
"","","Поиск по запросу ""TypeScript"" возвращает результаты","Habr.com - Тестирование функционала статей","2025-12-12","skipped","","","TC-1: Работа с поиском","",""
"","","Навигация в раздел ""design"" работает","Habr.com - Smoke Tests","2025-12-12","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Все поля формы регистрации присутствуют","Habr.com - Детальное тестирование авторизации","2025-12-11","skipped","","","TC-2: Валидация формы регистрации","",""
"","","Все поля формы регистрации присутствуют","Habr.com - Детальное тестирование авторизации","2025-12-12","skipped","","","TC-2: Валидация формы регистрации","",""
"","","Статьи содержат основные элементы","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-2: Проверка контента на главной странице","",""
"","","Валидация на стороне клиента работает","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-2: Валидация формы регистрации","",""
"","","Логотип Habr отображается","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Все поля формы регистрации присутствуют","Habr.com - Детальное тестирование авторизации","2025-12-12","skipped","","","TC-2: Валидация формы регистрации","",""
"","","Чекбокс ""Запомнить меня"" работает корректно","Habr.com - Детальное тестирование авторизации","2025-12-11","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Заголовки статей отображаются корректно","Habr.com - Smoke Tests","2025-12-12","skipped","","","TC-2: Проверка контента на главной странице","",""
"","","Все поля формы регистрации присутствуют","Habr.com - Детальное тестирование авторизации","2025-12-11","skipped","","","TC-2: Валидация формы регистрации","",""
"","","Async/await should work","TypeScript configuration test","2025-12-11","skipped","","","","",""
"","","Навигация в раздел ""admin"" работает","Habr.com - Smoke Tests","2025-12-12","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Сортировка статей по рейтингу","Habr.com - Тестирование функционала статей","2025-12-10","skipped","","","TC-3: Сортировка и фильтрация","",""
"","","Поиск по запросу ""TypeScript"" возвращает результаты","Habr.com - Тестирование функционала статей","2025-12-11","skipped","","","TC-1: Работа с поиском","",""
"","","Вход с неверными данными показывает ошибку","Habr.com - Детальное тестирование авторизации","2025-12-12","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Форма входа содержит все необходимые элементы","Habr.com - Детальное тестирование авторизации","2025-12-12","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Навигация в раздел ""design"" работает","Habr.com - Smoke Tests","2025-12-12","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Валидация на стороне клиента работает","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-2: Валидация формы регистрации","",""
"","","Сортировка статей по рейтингу","Habr.com - Тестирование функционала статей","2025-12-10","skipped","","","TC-3: Сортировка и фильтрация","",""
"","","TypeScript should compile correctly","TypeScript configuration test","2025-12-10","skipped","","","","",""
"","","Чекбокс ""Запомнить меня"" работает корректно","Habr.com - Детальное тестирование авторизации","2025-12-12","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Статьи содержат основные элементы","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-2: Проверка контента на главной странице","",""
"","","Навигация в раздел ""management"" работает","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Заголовки статей отображаются корректно","Habr.com - Smoke Tests","2025-12-12","skipped","","","TC-2: Проверка контента на главной странице","",""
"","","Можно перейти на форму восстановления пароля","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-4: Восстановление пароля","",""
"","","Вход с неверными данными показывает ошибку","Habr.com - Детальное тестирование авторизации","2025-12-11","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Поиск по запросу ""TypeScript"" возвращает результаты","Habr.com - Тестирование функционала статей","2025-12-10","skipped","","","TC-1: Работа с поиском","",""
"","","Можно открыть первую статью из списка","Habr.com - Тестирование функционала статей","2025-12-10","skipped","","","TC-2: Открытие и чтение статей","",""
"","","Логотип Habr отображается","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Async/await should work","TypeScript configuration test","2025-12-10","skipped","","","","",""
"","","Поиск по запросу ""TypeScript"" возвращает результаты","Habr.com - Тестирование функционала статей","2025-12-10","skipped","","","TC-1: Работа с поиском","",""
"","","Навигация в раздел ""development"" работает","Habr.com - Smoke Tests","2025-12-11","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Вход с неверными данными показывает ошибку","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Навигация в раздел ""marketing"" работает","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Главная страница загружается корректно","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Чекбокс ""Запомнить меня"" работает корректно","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Можно перейти на страницу регистрации","Habr.com - Тестирование авторизации","2025-12-11","skipped","","","TC-1: Доступность форм авторизации","",""
"","","Валидация пустых полей формы входа","Habr.com - Тестирование авторизации","2025-12-12","skipped","","","TC-2: Валидация формы авторизации","",""
"","","Поиск по запросу ""TypeScript"" возвращает результаты","Habr.com - Тестирование функционала статей","2025-12-11","skipped","","","TC-1: Работа с поиском","",""
"","","Можно перейти на форму восстановления пароля","Habr.com - Детальное тестирование авторизации","2025-12-12","skipped","","","TC-4: Восстановление пароля","",""
"","","Валидация пустых полей формы входа","Habr.com - Тестирование авторизации","2025-12-10","skipped","","","TC-2: Валидация формы авторизации","",""
"","","Валидация пустых полей формы входа","Habr.com - Тестирование авторизации","2025-12-11","skipped","","","TC-2: Валидация формы авторизации","",""
"","","Список статей загружается","Habr.com - Smoke Tests","2025-12-12","skipped","","","TC-2: Проверка контента на главной странице","",""
"","","Кнопка входа отображается на главной странице","Habr.com - Тестирование авторизации","2025-12-10","skipped","","","TC-1: Доступность форм авторизации","",""
"","","Навигация в раздел ""design"" работает","Habr.com - Smoke Tests","2025-12-12","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Фильтрация статей по времени","Habr.com - Тестирование функционала статей","2025-12-10","skipped","","","TC-3: Сортировка и фильтрация","",""
"","","Навигация в раздел ""admin"" работает","Habr.com - Smoke Tests","2025-12-14","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Фильтрация статей по времени","Habr.com - Тестирование функционала статей","2025-12-11","skipped","","","TC-3: Сортировка и фильтрация","",""
"","","Async/await should work","TypeScript configuration test","2025-12-10","skipped","","","","",""
"","","Навигационное меню отображается","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Навигация в раздел ""admin"" работает","Habr.com - Smoke Tests","2025-12-11","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Навигация в раздел ""design"" работает","Habr.com - Smoke Tests","2025-12-12","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Поиск по запросу ""TypeScript"" возвращает результаты","Habr.com - Тестирование функционала статей","2025-12-12","skipped","","","TC-1: Работа с поиском","",""
"","","Навигация в раздел ""admin"" работает","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Все поля формы регистрации присутствуют","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-2: Валидация формы регистрации","",""
"","","Логотип Habr отображается","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Сортировка статей по рейтингу","Habr.com - Тестирование функционала статей","2025-12-11","skipped","","","TC-3: Сортировка и фильтрация","",""
"","","Переключение видимости пароля работает","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Навигация в раздел ""management"" работает","Habr.com - Smoke Tests","2025-12-11","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Async/await should work","TypeScript configuration test","2025-12-14","skipped","","","","",""
"","","Навигация в раздел ""design"" работает","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Можно перейти на страницу входа","Habr.com - Тестирование авторизации","2025-12-10","skipped","","","TC-1: Доступность форм авторизации","",""
"","","Чекбокс соглашения обязателен","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-2: Валидация формы регистрации","",""
"","","Валидация пустых полей формы входа","Habr.com - Тестирование авторизации","2025-12-11","skipped","","","TC-2: Валидация формы авторизации","",""
"","","Навигация в раздел ""marketing"" работает","Habr.com - Smoke Tests","2025-12-12","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Нельзя зарегистрироваться с уже существующим email","Habr.com - Детальное тестирование авторизации","2025-12-11","skipped","","","TC-5: Интеграционные тесты","",""
"","","Форма входа содержит все необходимые элементы","Habr.com - Детальное тестирование авторизации","2025-12-11","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Чекбокс ""Запомнить меня"" работает корректно","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Чекбокс ""Запомнить меня"" работает корректно","Habr.com - Детальное тестирование авторизации","2025-12-11","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Переключение видимости пароля работает","Habr.com - Детальное тестирование авторизации","2025-12-12","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Чекбокс ""Запомнить меня"" работает корректно","Habr.com - Детальное тестирование авторизации","2025-12-11","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Можно открыть первую статью из списка","Habr.com - Тестирование функционала статей","2025-12-10","skipped","","","TC-2: Открытие и чтение статей","",""
"","","Валидация пустых полей формы входа","Habr.com - Тестирование авторизации","2025-12-11","skipped","","","TC-2: Валидация формы авторизации","",""
"","","Заголовки статей отображаются корректно","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-2: Проверка контента на главной странице","",""
"","","TypeScript should compile correctly","TypeScript configuration test","2025-12-12","skipped","","","","",""
"","","Список статей загружается","Habr.com - Smoke Tests","2025-12-11","skipped","","","TC-2: Проверка контента на главной странице","",""
"","","Нельзя зарегистрироваться с уже существующим email","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-5: Интеграционные тесты","",""
"","","Статьи содержат основные элементы","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-2: Проверка контента на главной странице","",""
"","","Вход с неверными данными показывает ошибку","Habr.com - Детальное тестирование авторизации","2025-12-11","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Можно перейти на страницу входа","Habr.com - Тестирование авторизации","2025-12-12","skipped","","","TC-1: Доступность форм авторизации","",""
"","","Можно открыть первую статью из списка","Habr.com - Тестирование функционала статей","2025-12-10","skipped","","","TC-2: Открытие и чтение статей","",""
"","23346","Можно открыть первую статью из списка","Habr.com - Тестирование функционала статей","2025-12-12","failed","2025-12-12","","TC-2: Открытие и чтение статей","",""
"","","Кнопка входа отображается","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Навигация в раздел ""marketing"" работает","Habr.com - Smoke Tests","2025-12-12","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Поиск статьи по ключевому слову ""питон""","Habr.com - Smoke Tests","2025-12-12","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Переключение видимости пароля работает","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Статьи содержат основные элементы","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-2: Проверка контента на главной странице","",""
"","","Async/await should work","TypeScript configuration test","2025-12-11","skipped","","","","",""
"","","Фильтрация статей по времени","Habr.com - Тестирование функционала статей","2025-12-11","skipped","","","TC-3: Сортировка и фильтрация","",""
"","","Главная страница загружается корректно","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Кнопка входа отображается","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Чекбокс соглашения обязателен","Habr.com - Детальное тестирование авторизации","2025-12-12","skipped","","","TC-2: Валидация формы регистрации","",""
"","","Список статей загружается","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-2: Проверка контента на главной странице","",""
"","","Сортировка статей по рейтингу","Habr.com - Тестирование функционала статей","2025-12-11","skipped","","","TC-3: Сортировка и фильтрация","",""
"","","Навигация в раздел ""development"" работает","Habr.com - Smoke Tests","2025-12-11","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Кнопка входа отображается","Habr.com - Smoke Tests","2025-12-11","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Чекбокс соглашения обязателен","Habr.com - Детальное тестирование авторизации","2025-12-11","skipped","","","TC-2: Валидация формы регистрации","",""
"","","Чекбокс ""Запомнить меня"" работает корректно","Habr.com - Детальное тестирование авторизации","2025-12-12","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Навигационное меню отображается","Habr.com - Smoke Tests","2025-12-12","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Можно перейти на страницу регистрации","Habr.com - Тестирование авторизации","2025-12-10","skipped","","","TC-1: Доступность форм авторизации","",""
"","","Можно перейти на форму восстановления пароля","Habr.com - Детальное тестирование авторизации","2025-12-12","skipped","","","TC-4: Восстановление пароля","",""
"","","Фильтрация статей по времени","Habr.com - Тестирование функционала статей","2025-12-10","skipped","","","TC-3: Сортировка и фильтрация","",""
"","","Логотип Habr отображается","Habr.com - Smoke Tests","2025-12-12","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Можно перейти на страницу регистрации","Habr.com - Тестирование авторизации","2025-12-10","skipped","","","TC-1: Доступность форм авторизации","",""
"","","TypeScript should compile correctly","TypeScript configuration test","2025-12-12","skipped","","","","",""
"","","TypeScript should compile correctly","TypeScript configuration test","2025-12-12","skipped","","","","",""
"","","Async/await should work","TypeScript configuration test","2025-12-11","skipped","","","","",""
"","","Можно открыть первую статью из списка","Habr.com - Тестирование функционала статей","2025-12-10","skipped","","","TC-2: Открытие и чтение статей","",""
"","","Главная страница загружается корректно","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Навигация в раздел ""admin"" работает","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Чекбокс соглашения обязателен","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-2: Валидация формы регистрации","",""
